feature,mean_feat_when_shap_positive,std_feat_when_shap_positive,count_shap_positive,mean_feat_when_shap_negative,std_feat_when_shap_negative,count_shap_negative,overall_mean_feat,overall_std_feat,feature_shap_correlation,total_observations
word_count,0.4972768444532339,1.072615959846551,1934,-0.34134028444804637,1.7388706686785258,1536,0.1260618848012551,1.467170247266837,0.15628476811845793,3470
sentence_count,0.3059557851932891,1.0362827777842119,1812,-0.14611946966168748,1.107331546964216,1658,0.08994979886777002,1.0942246410795604,0.2060148199766117,3470
avg_word_length,-0.380596017039064,1.7044068444847726,1973,0.44967185435421403,0.9326721186091433,1497,-0.022408407968246367,1.481777024875638,-0.38846191804212166,3470
std_word_length,0.6136339505087072,0.662366724362175,1769,-0.7002559584399923,0.749271733213423,1701,-0.030437154713695604,0.9644986604454057,0.7342433894380439,3470
type_token_ratio,-0.4929113067117749,0.9071214580914471,2146,0.6584520422717511,0.7029923364270627,1324,-0.053601487099616776,1.0050803493732232,-0.6293922410977878,3470
hapax_legomena,0.28176545464539615,0.6949318137077174,2173,-0.6130975495087151,1.090454031012292,1297,-0.05271215814650078,0.9664879493067065,0.5236209149934347,3470
stopword_ratio,0.47830838910642903,0.9461468910336857,1877,-0.5636661361868737,0.7490917500304158,1593,-3.899383081341254e-05,1.0056429779917726,0.6021724008378412,3470
punctuation_density,0.21083888941682677,0.9055338983437436,1996,-0.38409800277594996,1.0270402474652822,1474,-0.04188070109964378,1.002982568631331,0.35301231374006803,3470
noun_ratio,0.5910832080857237,0.7953606143347175,1809,-0.6590717989577504,0.8699553157801948,1661,-0.007333929291570425,1.040184473525431,0.7058463219909776,3470
verb_ratio,-0.7015984800004378,0.602965453779973,1791,0.7528876721272753,0.7858151797529451,1679,0.00217162069766892,1.0073626482128786,-0.725131521048651,3470
adj_ratio,0.49218172606357324,0.9043741779738159,1769,-0.5053251299186432,0.7526061258107287,1701,0.003202140465374289,0.9711594476925558,0.5985403959574678,3470
adv_ratio,-0.02143818452879808,0.8929448530906073,2079,0.047623562904888006,1.1279721144699955,1391,0.006246222007299153,0.9942752810498576,-0.18683698656006523,3470
pronoun_ratio,0.3641087340082939,1.007727457637632,1619,-0.27525350049757824,0.89275969676594,1851,0.023054124189743647,1.0002341080280883,0.3574636642044548,3470
avg_dependency_depth,,,0,,,0,0.0,0.0,,3470
function_word_ratio,0.43880220897910377,0.9656365339929882,1955,-0.5518803008636475,0.8143886518664478,1515,0.006270796180323303,1.0277026918786158,0.5672728069647702,3470
punctuation_usage,-0.14685419536187833,1.105581682536391,1756,0.08533983669601365,0.8404385781968579,1714,-0.032162388172475784,0.9902776796574662,-0.16487552082778026,3470
readability_score,-0.3223634108929346,0.8956426897470444,1932,0.3561695987566367,1.0789662099837227,1538,-0.021618808921453153,1.037295543982356,-0.37523508333027045,3470
sentence_length_variation,-0.34838087475063173,0.574468200676266,2645,1.3395906021904764,1.4789378169216005,825,0.05293799224545312,1.1347162310798482,-0.6075823801480823,3470
subordinate_clause_ratio,-0.27642842801168277,0.9692960918438384,2058,0.3756406926776274,0.9405989797848726,1412,-0.011090791581335233,1.0097598611227072,-0.2297758409726916,3470
sentiment_polarity,0.36257396211735365,1.4555034485001677,1325,-0.20330495645680488,0.5812823632651369,2145,0.012772728589523689,1.0454630766719617,0.1598404163816427,3470
sentiment_subjectivity,-0.034504649389831346,1.015048615452114,1957,0.03080798604982398,0.9809768840197922,1513,-0.00602683457133035,1.0007167139313526,0.12910326532976066,3470
anger,-0.4319596943826038,0.2076619349596197,2004,0.6133405611987411,1.302376110088367,1466,0.009657070655509125,1.003938041053981,-0.5806692164322436,3470
joy,0.22971126204862455,1.1567887305575273,1843,-0.36320044717599254,0.6577539785915855,1627,-0.0482908563687968,1.0004535077866488,0.3521798856275159,3470
fear,-0.10212693528852909,0.8682820911704789,1519,0.31690670331360377,1.1619841341790997,1951,0.13347382232321767,1.064009040973996,-0.3398399946314149,3470
sadness,0.2697371878476185,1.2509663625939604,1751,-0.21983545507692562,0.6932508264639334,1719,0.02720826185704463,1.0427826494754344,0.3359789416172192,3470
disgust,0.030959521034082504,1.083793048696749,1718,0.0722512422143367,1.9047815582593346,1752,0.05180767535909844,1.5534342853130945,-0.018430170796779825,3470
surprise,-0.17923988725734685,0.7897124906793915,2124,0.07162640238967347,1.157895232110699,1346,-0.08192979334815682,0.9573073217681346,-0.000986150457045573,3470
certainty_adverbs_count,-0.14702590219681658,0.7600110670621227,1849,0.1317237433782142,1.2324191286443718,1075,-0.050803926763471445,0.9488398016863238,-0.27172478508368514,3470
certainty_verbs_count,0.3181039592901334,1.130255689629678,1181,-0.14939872717161606,0.9378365169475177,1470,0.06931174974731097,1.0653791128536005,0.2863960877466373,3470
certainty_adjectives_count,1.9173438173171748,1.0873122623537026,684,-0.43152120742671457,0.1392156928562816,2592,0.06331068551906932,1.0864806602835855,0.6296121398604423,3470
doubt_adverbs_count,0.6258116543306792,1.3353857159269458,1231,-0.26248326228914187,0.7849203875861328,2045,0.07023404824328085,1.1115896619006453,0.28358630677873337,3470
doubt_verbs_count,-0.08315853102825758,0.7603593656909047,543,-0.05143419850436598,0.8432324690472393,549,-0.051862062578139634,0.8452479603415575,0.23829357649048602,3470
doubt_adjectives_count,-0.3277283303522532,0.10642330538495581,1915,2.8833197526871075,1.231895282263717,190,-0.030256697044507407,0.9995517466950176,-0.4721383268699031,3470
hedges_score,0.03674365643459561,0.98858649142316,1713,0.003913456516803555,1.053518221081023,1757,0.020120411115990243,1.0219645381991591,0.06669922380746113,3470
hedge_C_count,0.21806567601346938,0.9181993132876274,2025,-0.13860603098867083,1.3508427410599648,1445,0.06953812079211705,1.1324336562110515,0.009239696086031571,3470
hedge_D_count,,,0,,,0,-0.019960606646214928,0.9285973802257051,,3470
hedge_E_count,-0.30183321460354,0.009958392662901775,690,3.123527441402725,0.9675484387425588,50,-0.04481027120317609,0.9053243412373889,-0.33088691167010964,3470
hedge_I_count,,,0,,,0,-0.02878019545181274,0.5361149057035142,,3470
hedge_N_count,4.022114884409337,1.8254237064654355,84,-0.2090113936440528,0.03947371016360416,1554,0.012685219991317534,1.079163962924994,0.44836125811840705,3470
C_ratio,0.23230311735718204,0.6109489755737703,2096,-0.28664959634433007,1.2325282506083748,1101,0.05210884207614662,0.915438455702828,0.08844306555774249,3470
D_ratio,-0.1498633695186948,0.36221109909095023,528,4.651709175709861,0.8196279599111712,18,-0.030639967410092245,0.851936622577362,-0.2474539897606588,3470
E_ratio,-0.20812092833017776,0.42239246450017526,2092,0.7636067829292399,1.7499857284294553,365,-0.058091353291697935,0.856349331752674,-0.43403111386172366,3470
I_ratio,,,0,,,0,-0.0065463783823802805,1.0469415034110967,,3470
N_ratio,4.041739440761365,1.9976894939396541,96,-0.18914885676111873,0.2660135703171613,2088,0.008974232819637835,1.0666056242447022,0.4944244399047906,3470
