word_count,sentence_count,avg_word_length,std_word_length,type_token_ratio,hapax_legomena,stopword_ratio,punctuation_density,noun_ratio,verb_ratio,adj_ratio,adv_ratio,pronoun_ratio,avg_dependency_depth,function_word_ratio,punctuation_usage,readability_score,sentence_length_variation,subordinate_clause_ratio,sentiment_polarity,sentiment_subjectivity,anger,joy,fear,sadness,disgust,surprise,certainty_adverbs_count,certainty_verbs_count,certainty_adjectives_count,doubt_adverbs_count,doubt_verbs_count,doubt_adjectives_count,hedges_score,hedge_C_count,hedge_D_count,hedge_E_count,hedge_I_count,hedge_N_count,C_ratio,D_ratio,E_ratio,I_ratio,N_ratio,iteration,stance,model
-0.001595147,-0.00040339865,0.914588,-0.12038556,-0.4680554,0.17373565,0.6561359,0.4233718,0.88151443,0.096562445,-0.58345544,-0.069603525,0.072819255,0.0,0.579632,0.07302683,0.0927578,0.09048528,0.037702147,-0.054601915,-0.1267281,0.14579895,0.21159907,0.673867,0.10521135,0.21888596,-0.22879064,-0.010694242,-0.042693816,-0.026530314,-0.06330055,0.0,0.0,0.40001768,0.17388362,0.0,0.0024711571,0.0,-0.0016717976,0.002202128,0.0024297754,0.0067951777,0.0,-0.007936597,3,NONE,XGBoost
0.24495324,0.00047350768,0.4560771,-0.22645327,0.037438974,-0.1012498,0.44232118,-0.37718886,-1.2638768,-0.07921743,-0.17407322,0.008524071,-0.28557923,0.0,1.1600605,0.36769655,0.06461753,0.05110526,0.11754975,0.80721813,1.5790551,0.008165896,-0.36135232,-1.039467,-0.20111984,0.16929522,-1.5650392,-0.0032374135,-0.017745182,0.5357794,0.26483086,0.0,0.0,-0.0412844,-0.025910553,0.0,0.020552356,0.0,-0.001305037,0.022865187,0.0020414751,0.0057581626,0.0,-0.011174032,3,NONE,XGBoost
-0.0815076,-0.0039685317,0.58653474,-0.3736139,-0.26979414,0.26211607,0.87006843,0.09536981,-0.9641001,0.09939295,-0.15446559,0.31386212,0.011555763,0.0,1.6473099,-0.049207028,-0.029132519,0.052353293,0.068288244,-0.17744604,-0.22225128,-0.1092622,0.55159277,-0.26573986,0.20781805,0.66983706,0.72034,-0.004797526,-0.04973843,-0.037517518,-0.07595562,0.0,0.0,-0.066099524,0.1528542,0.0,0.020552356,0.0,-0.0023873034,0.045210723,0.0024297754,0.0057581626,0.0,-0.009809136,3,NONE,XGBoost
0.6600054,-0.002459148,0.6439806,0.20436125,-0.021315807,0.26768157,0.13350004,0.47971728,-1.7377111,-0.2425834,0.59263754,0.34176776,-0.042535402,0.0,0.98315424,0.2844894,0.30615857,0.14750053,0.13141987,-0.014938168,0.8015584,0.043148383,0.24813671,-0.06111637,0.31181937,0.8072336,0.5058878,-0.004414137,-0.027088078,-0.13866241,0.105048746,0.0,0.0,0.20931077,0.1083139,0.0,-0.14537449,0.0,0.032776058,-0.041659698,0.0019827893,0.0057581626,0.0,0.103682466,3,NONE,XGBoost
-0.057149827,3.1784642e-05,-0.12685868,-0.0779376,-0.6001641,0.13762571,0.33253807,-0.05455513,-0.48130232,-0.16697514,-0.3209186,0.2559006,0.06451051,0.0,1.2028253,0.083626844,0.046960097,0.048264634,-0.05693473,-0.06610973,-0.03449855,-0.11088501,0.120282084,1.377656,0.32083273,0.0794424,-0.26865152,-0.011270508,-0.043557107,0.21652521,0.08069274,0.0,0.0,-0.037913598,0.017725714,0.0,0.0065011955,0.0,-0.0021427497,-0.004609465,0.0024297754,0.008754975,0.0,-0.013132458,3,NONE,XGBoost
-0.09787195,-0.009402482,-1.083059,-0.21746378,-0.6486034,0.044094697,-0.13293119,-0.34183863,0.5567071,0.3397944,-0.9305507,-0.052948512,0.019141495,0.0,-1.1164385,-0.2602997,-0.20478684,0.010032944,0.046314403,0.65786254,0.4127219,0.3537311,0.395895,-1.3469428,0.018915001,-0.7334731,-0.13200472,-0.007431215,-0.062468134,-0.048326854,-0.023248529,0.0,0.0,-0.06631611,0.32233366,0.0,0.0015254539,0.0,-0.011682457,-0.005709462,0.0024297754,0.0042800065,0.0,-0.009505341,3,NONE,XGBoost
-0.13338257,-0.0070633255,-2.009393,0.4962809,-0.14851516,-0.0033933506,-0.5423397,0.02200129,-0.43187442,-0.5610959,0.2172694,-0.1025803,0.011250133,0.0,-1.08143,-0.40704134,-0.07449865,0.05342753,0.0337044,-0.08799031,-0.04103534,0.18452898,-0.3207013,-0.8804809,0.019226551,-0.256666,0.43601304,0.13025914,-0.04320166,-0.06292399,0.12562571,0.0,0.0,0.019421462,-0.6184543,0.0,0.0015254539,0.0,-0.011682457,-0.013712704,0.0024297754,0.008427681,0.0,-0.021687623,3,NONE,XGBoost
-0.07518221,0.006471742,1.2554824,-0.5830283,-0.73946536,0.09330578,-0.014926525,0.26873642,-0.788553,-0.13698673,-0.39724812,0.33307987,0.06466135,0.0,0.0849963,-0.32213333,0.18090722,0.09875366,-0.1101851,-0.11652137,-0.30945402,-0.16349876,0.13694072,-0.39902014,-0.06314756,0.16277315,0.5699408,-0.011705466,-0.056698747,-0.061815996,-0.092144705,0.0,0.0,-0.08280196,0.0973983,0.0,0.0024711571,0.0,-0.0035682428,-0.006471261,0.0024297754,0.0040687285,0.0,-0.010035181,3,NONE,XGBoost
-0.10765609,-0.012264797,-0.084935986,0.8787965,0.56607795,-0.26477778,-0.51039886,0.07525125,-0.2057401,0.39550138,1.4444276,-0.17633829,0.026903983,0.0,0.315021,0.032998834,0.038954433,0.035047583,0.08379014,-0.09287084,-0.30376816,-1.0759766,0.2833246,-0.36644045,-0.08697813,-0.12325606,0.47593653,-0.008347924,-0.0477989,-0.051016606,-0.052366067,0.0,0.0,-0.049757414,0.044156764,0.0,0.0024711571,0.0,-0.0041735116,-0.0056904596,0.0024297754,0.0036006838,0.0,-0.00474697,3,NONE,XGBoost
-0.7076557,-0.004546988,-0.07226749,-0.13504845,0.22438326,-0.33236054,0.43918717,0.010998255,-0.06520788,-0.32764977,-0.252372,0.2557832,-0.052754834,0.0,1.0420206,-0.09827818,-0.0064475015,0.054755665,0.2612709,0.009167554,-0.47091767,-0.42155877,-0.13882002,4.2463603,-0.13125485,0.5586719,-0.20755012,-0.0031606965,0.18370229,-0.055885885,-0.033937637,0.0,0.0,0.13744636,-0.03921132,0.0,0.0034883586,0.0,-0.0021427497,0.0014539543,0.017228693,0.0030286568,0.0,-0.017527055,3,NONE,XGBoost
