word_count,sentence_count,avg_word_length,std_word_length,type_token_ratio,hapax_legomena,stopword_ratio,punctuation_density,noun_ratio,verb_ratio,adj_ratio,adv_ratio,pronoun_ratio,avg_dependency_depth,function_word_ratio,punctuation_usage,readability_score,sentence_length_variation,subordinate_clause_ratio,sentiment_polarity,sentiment_subjectivity,anger,joy,fear,sadness,disgust,surprise,certainty_adverbs_count,certainty_verbs_count,certainty_adjectives_count,doubt_adverbs_count,doubt_verbs_count,doubt_adjectives_count,hedges_score,hedge_C_count,hedge_D_count,hedge_E_count,hedge_I_count,hedge_N_count,C_ratio,D_ratio,E_ratio,I_ratio,N_ratio,iteration,stance,model
0.0823387,-0.004439094,-0.63186276,-0.24231058,0.22726399,0.009412762,-0.19884595,0.4913162,-0.47442216,0.2989864,0.3710086,-0.3392873,-0.07235633,0.0,-0.23149931,-0.07010177,0.030542813,0.027688826,-0.13260858,-1.3995861,-0.37351465,0.9728325,0.24137813,0.06753431,-0.5492534,0.0737599,0.33853438,0.0,0.059632678,0.04999489,0.047529407,0.0,0.0015825812,0.00479913,0.055982314,0.0,0.0,0.0,0.0,0.02511978,0.0,-0.033484414,0.0,0.0,13,AGAINST,XGBoost
0.2013534,0.0020391035,0.64252746,-0.06087928,-0.3862551,-0.05164175,0.2617377,0.17865051,0.44224906,0.7990776,0.29652634,0.10252642,-0.007004283,0.0,1.2948134,-0.25811684,-0.22886726,-0.00048627332,-0.16325602,0.23675554,0.29019567,-0.91889447,0.719202,-0.03464398,-0.26274544,-0.11153017,0.478603,0.0,0.005846066,0.017736085,0.045043036,0.0,0.0020486973,0.031923823,-0.0005144067,0.0,0.0,0.0,0.0,0.059855573,0.0,-0.007529835,0.0,0.0,13,AGAINST,XGBoost
-0.046963774,-0.004439094,-0.6264728,-0.48575237,-0.14663893,-0.13283654,-0.3305839,-0.022539346,0.020592283,-0.51092917,0.54801273,-0.062129006,-0.13832241,0.0,-0.14116266,-0.007298435,-0.27958426,-0.06847867,0.18297094,-0.9054741,-0.4762395,0.022066724,0.29644385,0.23706937,0.5196841,-0.12749381,0.4781898,0.0,0.07228379,0.0040455405,0.03844962,0.0,0.0028471244,-0.0042906962,0.21370149,0.0,0.0,0.0,0.0,0.040874913,0.0,-0.038259864,0.0,0.0,13,AGAINST,XGBoost
-0.13969241,-0.004439094,-0.45901287,0.81530833,0.10319197,-0.08070425,-0.048331425,-0.27632883,-0.13174078,0.018292598,-0.1394853,-0.17881969,-0.017968293,0.0,0.0032314733,-0.17612392,0.0811923,0.063098714,-0.22710706,0.18888402,-0.36132145,-0.1386988,-0.70197684,-0.28696328,-0.09294049,0.19565046,0.7276824,0.0,0.025538117,0.007865647,0.030476611,0.0,-0.0177085,-0.013919183,-0.19084063,0.0,0.0,0.0,0.0,0.029788364,0.0,-0.017772336,0.0,0.0,13,AGAINST,XGBoost
-0.21317284,-0.004439094,-0.35437837,-0.40108082,0.09369083,-0.15032655,-0.34432787,-0.18157832,-0.520005,-0.1064199,0.29963285,-0.13209298,-0.041282885,0.0,-0.15963538,0.08134198,-0.32297218,-0.011264656,-0.23379351,0.34050167,0.15139264,-1.1548462,-0.7976082,0.07212559,0.42509112,-0.038369484,0.001413689,0.0,0.012887005,0.009606373,0.032346122,0.0,0.0020486973,-0.0066071656,-0.17649667,0.0,0.0,0.0,0.0,0.04054548,0.0,-0.017772336,0.0,0.0,13,AGAINST,XGBoost
0.21885954,0.0027100763,-0.11266911,-0.016813105,0.025691994,0.13109285,0.21412227,0.24898525,0.072002284,0.53037053,-0.22417974,0.11142987,-0.02023881,0.0,0.80735856,-0.08649911,1.3561924,-0.023048943,-0.15448214,-0.6567532,-0.2951774,-0.18842843,-0.9251958,-0.1346282,0.01309507,0.23854846,-1.189423,0.0,-0.0079866685,0.015073577,0.030141031,0.0,0.0028471244,-0.00082358345,-0.064881,0.0,0.0,0.0,0.0,0.031682715,0.0,-0.011903446,0.0,0.0,13,AGAINST,XGBoost
-0.14234032,0.002959396,-0.46291098,0.99001443,0.069536656,-0.21567261,0.14294198,0.673537,-0.016996311,0.043657865,-0.25074315,-0.17680922,0.017959084,0.0,-0.11820634,-0.35899258,-0.70705974,-0.040929474,0.16554077,0.162069,-0.36285663,-1.1118373,0.31659183,0.038876936,0.21863818,0.29754394,0.60603,0.0,0.008466041,0.011457773,0.021420885,0.0,0.0020486973,-0.0071692015,-0.040008295,0.0,0.0,0.0,0.0,0.019406633,0.0,-0.015893562,0.0,0.0,13,AGAINST,XGBoost
0.013111638,-0.004439094,0.7719352,1.0668787,-0.34828243,0.0348128,-0.0353323,-0.0503878,0.23988628,0.27718547,0.23332493,0.115304455,0.11614006,0.0,-0.04766941,-0.15153085,-0.036256332,0.0024758168,-0.16284047,-0.7121468,-0.3098889,0.047689818,0.41431054,-0.21286821,0.07628768,0.0691906,0.4912374,0.0,-0.037658453,0.0065224217,0.03414872,0.0,0.0028471244,-0.010323132,0.047122616,0.0,0.0,0.0,0.0,-0.07481492,0.0,-0.021097604,0.0,0.0,13,AGAINST,XGBoost
-0.09984105,0.0020391035,0.40006322,-0.06120994,-0.19420302,0.021124756,0.08338315,0.3564017,0.8478541,-0.46913862,-0.7679227,0.014696172,-0.06560647,0.0,-0.18128188,-0.34397617,-0.4702457,-0.039673045,-0.04872338,0.17412478,0.23099637,-0.08582218,0.06646622,-0.079553016,-0.040528234,-0.26913223,0.31551486,0.0,-0.012274528,-0.08202932,0.01688795,0.0,0.0028471244,0.027319754,-0.095308825,0.0,0.0,0.0,0.0,0.12451644,0.0,-0.010287538,0.0,0.0,13,AGAINST,XGBoost
-0.15034676,0.002959396,-0.22084518,-0.51209855,0.09060277,-0.07566563,-0.28173465,-0.20323473,-0.7676915,-0.6638514,-0.055431888,0.16781862,0.047697004,0.0,-0.51295924,-4.8078597e-05,-0.58295935,-0.03723053,0.34926274,0.1089999,0.14565483,-0.8270714,-0.37549365,-0.09444064,0.016250307,0.39612225,-1.4221088,0.0,0.021335179,0.011735637,0.022942731,0.0,-0.012742452,-0.042305738,-0.062071748,0.0,0.0,0.0,0.0,-0.18636519,0.0,-0.016928935,0.0,0.0,13,AGAINST,XGBoost
