feature,mean_feat_when_shap_positive,std_feat_when_shap_positive,count_shap_positive,mean_feat_when_shap_negative,std_feat_when_shap_negative,count_shap_negative,overall_mean_feat,overall_std_feat,feature_shap_correlation,total_observations
word_count,0.05797643770226998,0.9827443644092371,671,-0.029119139298172954,0.9635432811576848,695,0.013249287227975443,0.9722472482193316,-0.3317160017878744,1370
sentence_count,-0.5099170779231333,0.6855527258567611,702,0.5305784818358927,1.0576970030984023,668,-0.002580556814352757,1.0278157389157865,-0.7093974711862846,1370
avg_word_length,0.21537392430497143,0.9518621838085578,668,0.10499838818863395,0.9293624134872492,702,0.15881653280594302,0.9416751640771119,-0.05089288913117396,1370
std_word_length,0.14086322630327602,0.8748044988200949,692,0.12650964486488564,1.0417326668126803,678,0.1337597750512843,0.9607209645333987,-0.19498811457351928,1370
type_token_ratio,0.5605257996333729,0.6955491075545468,681,-0.4972448793774138,0.7963531062518686,689,0.028552078583422538,0.915930672300361,0.774395376400741,1370
hapax_legomena,-0.7024267117086844,0.6933360414140437,693,0.678463648718286,0.6726082681166273,677,-0.020045124840758155,0.9712778814113994,-0.8371467710626772,1370
stopword_ratio,0.076405403086118,1.0697959449795786,689,-0.12573811511825522,1.10779706736492,681,-0.024076155962917175,1.0931392746747475,0.3510427025038933,1370
punctuation_density,0.17004547226936823,1.064763495069773,738,-0.08921340673285037,1.1280221914480453,632,0.05044575582454913,1.1016097763152088,-0.35029190075410316,1370
noun_ratio,-0.4776212756598035,0.772896996346047,718,0.6976980529827375,0.948809234363714,652,0.08172777709562469,1.0419936371020138,-0.7583505659537705,1370
verb_ratio,-0.7050157746511543,0.7362177909034476,734,0.6827310862105167,0.7357331974205772,636,-0.060777085959166824,1.0102655464378114,-0.8833384242388489,1370
adj_ratio,-0.6290487930521902,0.6726561218066615,779,0.8329899214736258,0.8398033544474411,591,0.0016554991264647765,1.0420153587404437,-0.8645429793136125,1370
adv_ratio,-0.43736492405180455,0.6356124089912331,789,0.34289468510603355,0.9658429684978884,581,-0.10646650586150976,0.8812295862342188,-0.6302453904018266,1370
pronoun_ratio,-0.26934192436375304,0.8271572894344394,688,0.05315368656313059,1.0190388434465218,682,-0.10880031366876423,0.9412377842176205,-0.36060018818411077,1370
avg_dependency_depth,,,0,,,0,0.0,0.0,,1370
function_word_ratio,-0.9146783336531954,0.635117439617217,739,0.8463184653827693,0.5433200165067839,631,-0.10359148679794451,1.0603393636794107,-0.9080393207611498,1370
punctuation_usage,-0.04447829530305048,1.0367499307683872,656,-0.04302115799118296,1.1484061185533165,714,-0.04371888213467571,1.0959645266138212,0.16698981456375794,1370
readability_score,0.5644324120237382,0.8588375078493794,710,-0.2934620160361402,0.9109622434735635,660,0.1511402058051107,0.9825246974710845,0.5135333964698188,1370
sentence_length_variation,-0.046868174887081906,0.9725421727715426,721,0.13191644957063456,1.0798693199705982,649,0.03782614721004071,1.0282941236093477,-0.0938559835330449,1370
subordinate_clause_ratio,0.49885598429480915,1.0708154051365733,656,-0.4620366130255518,0.8442602860022816,714,-0.0019303766444155063,1.072578122554182,0.4669420964988193,1370
sentiment_polarity,-0.16016874779265267,0.9349373695877152,745,0.14144116276029445,1.0441430247438812,625,-0.022572985679081906,0.9972791233963407,-0.02844174535178425,1370
sentiment_subjectivity,-0.16020793106540612,0.900220097673619,692,0.03769522416941634,0.9781598550781666,678,-0.06226753745284434,0.9444575145534486,-0.052877258252596926,1370
anger,1.1962287944246701,1.0357935673148015,429,-0.5888518138868211,0.2212692593172361,941,-0.029874017561543904,1.0270836179580562,0.9343134740347369,1370
joy,-0.14999400873259655,0.6153515245550287,813,-0.016261673497047043,0.8691474147689847,557,-0.09562254104923812,0.7319253119653573,-0.49286023955214797,1370
fear,0.5796969357883011,0.8442079029569143,721,-0.4988603815928929,0.930008114817036,649,0.06875992923326824,1.036557689339287,0.5751509259769766,1370
sadness,1.1276150202857045,1.4002634530192357,403,-0.36696030944956853,0.4099786203505743,967,0.07268484229007745,1.076335293180289,0.8075512920325492,1370
disgust,-0.006569964196133318,1.174583845725974,641,0.04910254512929812,1.6754512689238934,729,0.023054312663895533,1.462366247430424,-0.1965958728407039,1370
surprise,-0.13061108129793797,0.8979715260317,765,0.20982037373860937,1.2205471309571807,605,0.01972543716710666,1.0657719609371503,-0.43745749176930915,1370
certainty_adverbs_count,0.2466479031404945,1.3550032522338054,453,-0.199268088828275,0.7314447562923236,917,-0.0518228739656088,1.0041000081735698,0.3279370693130695,1370
certainty_verbs_count,-0.38719647310349137,0.5301210817807176,902,0.32923600132841757,0.9462495889202953,468,-0.1424589562902553,0.7784101309880014,-0.26690018897481216,1370
certainty_adjectives_count,0.6242467668044546,1.1996039470065345,513,-0.36894824944364074,0.7300809015526416,857,0.002956161749989141,1.0501000353524388,0.18533471438029453,1370
doubt_adverbs_count,-0.18190876703688247,0.7622830579972929,758,-0.10464743213106784,0.949934441414476,612,-0.1473949444366207,0.851778867325223,-0.5252579462596074,1370
doubt_verbs_count,-0.15766304917654392,0.2544509701879548,1009,0.0802870506841801,1.2088223508878801,361,-0.09496232943222174,0.6655279649073087,-0.8071038904914805,1370
doubt_adjectives_count,-0.09759788719409539,0.8713425748500595,749,0.006030153969701871,1.1982594212715463,621,-0.05062488459357122,1.03332625663239,-0.3915910470743959,1370
hedges_score,0.4471300096147526,1.258579124846246,400,-0.34914910136597627,0.563419556901187,970,-0.11665884998474166,0.9041737360023099,0.5242012337808906,1370
hedge_C_count,0.2854678210761053,1.0695444415430233,625,-0.15222061165676798,0.9777620376369268,745,0.047454768239615815,1.0433261975388064,0.14709947271725815,1370
hedge_D_count,-0.22781768068428548,0.2784609761644439,1041,0.16270133307979043,1.4809214740500907,329,-0.13403610730590518,0.7824374763530223,-0.7249824636173996,1370
hedge_E_count,0.4780581309067082,1.5044257290485847,364,-0.19555968495213796,0.5137538003544978,1006,-0.016583856504970046,0.9394075521957863,0.5994315847971845,1370
hedge_I_count,-0.06165054493689424,0.3873647946854897,1055,0.19216439267042343,1.4472678644091077,315,-0.003291635924992744,0.7793353578142806,-0.6099438944189747,1370
hedge_N_count,-0.07869297603462161,0.9090449771237116,804,0.10101529675997965,1.3597398244205996,566,-0.00444853632531921,1.1205370029192374,-0.46976246143127504,1370
C_ratio,0.41332441646252044,0.2915548268767148,1108,-1.1696154298934525,1.6277205277266007,262,0.11060161372875041,0.9806592548988181,0.8444618295478051,1370
D_ratio,-0.1079210967805171,0.7217783785946048,725,-0.15138492678774054,0.7873186638420028,645,-0.12838399484961135,0.7533802497069266,0.05725169284212039,1370
E_ratio,-0.21594954455061924,0.28572313704724983,1094,0.6146471194088702,1.4631811352481996,276,-0.04861766188432789,0.7786538432984706,-0.8019780116622999,1370
I_ratio,-0.07419798921678186,0.13437848750482917,1253,0.6269139974680813,1.8388615953974752,117,-0.014322002032746101,0.5843419069033587,-0.8788105572774196,1370
N_ratio,-0.22546234561930478,0.3764737930157316,1100,0.776004022669235,2.008651721400674,270,-0.028093061358059706,1.0321769861704826,-0.6867875111515663,1370
