feature,mi_score
std_word_length,0.08039498513174603
verb_ratio,0.0711889541102837
hedge_C_count,0.0641010495557699
sadness,0.06358879207037171
C_ratio,0.05673734461975055
fear,0.05450163883278858
sentiment_subjectivity,0.05194930667055564
function_word_ratio,0.049233652507421066
noun_ratio,0.04785821183452388
readability_score,0.04524920470089988
disgust,0.04515661049404818
avg_word_length,0.04399748023510308
type_token_ratio,0.031767207433704314
hedge_E_count,0.03006892782615167
word_count,0.02906322152602403
hapax_legomena,0.026094119650747816
subordinate_clause_ratio,0.025724323549911388
I_ratio,0.024107810750307435
avg_dependency_depth,0.02401727543273946
adj_ratio,0.023726912739045813
stopword_ratio,0.022057390718812853
D_ratio,0.020309309844608547
N_ratio,0.02004523281673709
joy,0.019923697442102428
adv_ratio,0.018925339435662325
sentence_count,0.018684919789266896
sentence_length_variation,0.013696643996709224
hedges_score,0.012628362193437326
punctuation_usage,0.012335304969777194
sentiment_polarity,0.010278698238583628
doubt_adjectives_count,0.01024590561798111
pronoun_ratio,0.007232596612936515
doubt_adverbs_count,0.006293404714520223
hedge_N_count,0.00532785842843797
punctuation_density,0.002805506829441917
certainty_adjectives_count,0.0007044541860337095
certainty_adverbs_count,0.0
surprise,0.0
anger,0.0
certainty_verbs_count,0.0
hedge_D_count,0.0
doubt_verbs_count,0.0
hedge_I_count,0.0
E_ratio,0.0
