shap_word_count,shap_sentence_count,shap_avg_word_length,shap_std_word_length,shap_type_token_ratio,shap_hapax_legomena,shap_stopword_ratio,shap_punctuation_density,shap_noun_ratio,shap_verb_ratio,shap_adj_ratio,shap_adv_ratio,shap_pronoun_ratio,shap_avg_dependency_depth,shap_function_word_ratio,shap_punctuation_usage,shap_readability_score,shap_sentence_length_variation,shap_subordinate_clause_ratio,shap_sentiment_polarity,shap_sentiment_subjectivity,shap_anger,shap_joy,shap_fear,shap_sadness,shap_disgust,shap_surprise,shap_certainty_adverbs_count,shap_certainty_verbs_count,shap_certainty_adjectives_count,shap_doubt_adverbs_count,shap_doubt_verbs_count,shap_doubt_adjectives_count,shap_hedges_score,shap_hedge_C_count,shap_hedge_D_count,shap_hedge_E_count,shap_hedge_I_count,shap_hedge_N_count,shap_C_ratio,shap_D_ratio,shap_E_ratio,shap_I_ratio,shap_N_ratio,iteration,stance,model,feat_word_count,feat_sentence_count,feat_avg_word_length,feat_std_word_length,feat_type_token_ratio,feat_hapax_legomena,feat_stopword_ratio,feat_punctuation_density,feat_noun_ratio,feat_verb_ratio,feat_adj_ratio,feat_adv_ratio,feat_pronoun_ratio,feat_avg_dependency_depth,feat_function_word_ratio,feat_punctuation_usage,feat_readability_score,feat_sentence_length_variation,feat_subordinate_clause_ratio,feat_sentiment_polarity,feat_sentiment_subjectivity,feat_anger,feat_joy,feat_fear,feat_sadness,feat_disgust,feat_surprise,feat_certainty_adverbs_count,feat_certainty_verbs_count,feat_certainty_adjectives_count,feat_doubt_adverbs_count,feat_doubt_verbs_count,feat_doubt_adjectives_count,feat_hedges_score,feat_hedge_C_count,feat_hedge_D_count,feat_hedge_E_count,feat_hedge_I_count,feat_hedge_N_count,feat_C_ratio,feat_D_ratio,feat_E_ratio,feat_I_ratio,feat_N_ratio,label
0.2726782,-0.015668033,0.08767577,-0.22812746,0.020028709,-0.030417025,-0.11726755,0.34519577,0.09420894,0.7143477,-0.083822586,-0.008498449,-0.08046394,0.0,0.27284616,0.4800113,-0.8718494,0.059521876,0.04323657,0.07214317,0.13269572,-0.09162136,0.98521805,0.43046856,-0.03862618,0.009414038,-0.5299916,-0.0011986059,0.000840029,-0.00877168,-0.004593349,0.0,0.0323907,-0.06979263,-0.108411744,0.0,0.0,0.0,0.0,-0.0016582733,0.0,-0.03113894,0.0,0.0,13,All_Stances,XGBoost,-0.7406419077253935,-0.6435819810989167,-0.16811737848464325,0.3226123760376618,0.40082661840947303,0.3144466146238818,-0.7715974667138424,0.665179135709295,0.4956214380786457,-1.6027333117305338,-1.1836498165247842,-0.662179358453746,-0.6743161019325273,0.0,-0.9168129677243309,-0.3506653824820151,0.08874898304754554,-0.6505359893607117,-0.8702286215816416,-0.238630961172272,-0.8697092683648076,-0.4698330380572665,0.48649723139338674,-0.25221556724082683,-0.4445199784816287,-0.15367079254830715,2.1602621271906095,-0.32058655584674733,-0.477999174806191,-0.46614702626862875,-0.47927629311646996,-0.1313693642953316,-0.31220148058781233,-0.4845969186386784,-0.8448982579897332,-0.1920331875319516,-0.2814644784880008,-0.07770795840248118,-0.22649023509588234,0.40167918901709476,-0.18373604898788942,-0.2694474329891438,-0.07689535362285375,-0.21628046415892874,1
0.5646598,0.0118864225,-0.029065277,0.2518965,0.09879673,0.024322895,0.056249544,0.1318155,0.34173098,0.29182285,0.1906357,0.11278901,0.23381746,0.0,-0.3019501,0.023441838,-0.22046433,-0.11156331,-0.29687005,0.22754297,0.061986156,0.65837455,-0.46501312,-0.5335439,-0.12462741,0.034802683,0.27105844,-0.0012049092,-0.0011777275,-0.019682717,0.1723053,0.0,0.008945894,-0.07456699,-0.082743876,0.0,0.0,0.0,0.0,-0.006184609,0.0,-0.029343165,0.0,0.0,13,All_Stances,XGBoost,0.4365502832467605,0.20677976478645146,-0.7729566351064359,-0.46681298308875496,-0.5077631091348405,-0.3093343592898318,0.15470889964144932,0.006111457087958696,-0.09323524561648383,-1.1070631127496293,-0.47571438700104324,0.26853777969642456,0.13949398206544944,0.0,0.15389311042862658,-0.2404031590931446,-0.8017880439490334,1.5666862310035803,-0.14543704104957453,4.096798363197943,0.11536227948553875,-0.6001427058721692,-0.47910202229875115,-0.958932923004761,-0.48993539360099714,-0.10414344529516764,-0.1747200150700277,2.444798287676821,1.235369488941676,-0.46614702626862875,-0.47927629311646996,-0.1313693642953316,-0.31220148058781233,-0.4845969186386784,0.31553805492561576,4.5462740676169,-0.2814644784880008,-0.07770795840248118,-0.22649023509588234,-1.3330781781200913,4.255443251730467,-0.2694474329891438,-0.07689535362285375,-0.21628046415892874,1
0.1904969,0.010699471,-0.17149803,0.054761585,-0.057320546,-0.1382271,0.15120825,-0.14704458,-0.20660415,-0.4229165,0.3091002,-0.28470007,0.19446397,0.0,0.09413674,-0.36917904,-0.35979262,-0.7823559,0.4053551,-0.05032311,0.18496081,-1.8299404,-0.19771856,-0.0033614358,-0.17821693,0.082426645,0.16557506,-0.0014129528,0.005485582,-0.030229434,0.09262393,0.0,0.013703948,-0.022917595,-0.012544999,0.0,0.0,0.0,0.0,-0.0149359675,0.0,-0.033334516,0.0,0.0,13,All_Stances,XGBoost,0.4365502832467605,1.0571415106718196,-0.7729566351064359,-0.514704851533309,0.7383028029259325,0.7412441230911603,0.7036311908149555,-0.3704986449813761,-0.7998632660506383,0.875617683173993,-1.1836498165247842,-0.662179358453746,1.7671141500614054,0.0,0.9292319946083542,0.3476620323141652,-0.994336590326672,1.696141471282231,0.5793545394824946,-0.238630961172272,-0.8697092683648076,0.4186722846188317,-0.42163255080453516,0.29987873648981866,-0.4481303759142963,-0.12816505739538162,-0.43601860355284394,-0.32058655584674733,1.235369488941676,-0.46614702626862875,-0.47927629311646996,-0.1313693642953316,-0.31220148058781233,-0.4845969186386784,0.5476253175086855,-0.1920331875319516,-0.2814644784880008,-0.07770795840248118,-0.22649023509588234,0.40167918901709476,-0.18373604898788942,-0.2694474329891438,-0.07689535362285375,-0.21628046415892874,0
0.14680453,-0.015637133,0.3067977,-0.018958697,-0.061009847,0.16786577,-0.1725042,-0.32217228,0.57517606,-0.18532175,0.18876466,-0.17859271,-0.0018755791,0.0,-0.10687559,0.23348522,0.13868043,0.24732825,0.027012516,0.01549686,0.2485855,-1.25365,0.29576758,0.2642217,0.10889372,-0.14077255,0.09218262,-0.0014202194,-0.0037460132,-0.0211193,0.072357185,0.0,0.041360196,-0.037386205,-0.28474927,0.0,0.0,0.0,0.0,-0.002989133,0.0,-0.028965585,0.0,0.0,13,All_Stances,XGBoost,-0.5595354168066006,-0.6435819810989167,0.36066112751976553,0.39493381578593106,-0.8538925291517205,-0.849214968291175,0.44441788664968873,-0.8517226642921931,0.11613601969734012,0.7930059833438411,-0.04308718006986757,-0.662179358453746,1.947960835394291,0.0,0.41233940515520245,-0.4690951779737662,1.7594514595635204,-0.6505359893607117,0.297491147053356,-0.238630961172272,-0.8697092683648076,0.45189792567569104,0.40007554822160574,0.48374969981983484,-0.4072965819980009,-0.15412389444067817,-0.617140340400517,-0.32058655584674733,-0.477999174806191,-0.46614702626862875,-0.47927629311646996,-0.1313693642953316,-0.31220148058781233,-0.4845969186386784,-0.49676736411512845,-0.1920331875319516,-0.2814644784880008,-0.07770795840248118,-0.22649023509588234,0.40167918901709476,-0.18373604898788942,-0.2694474329891438,-0.07689535362285375,-0.21628046415892874,0
-0.1502186,0.009508215,0.056022804,-0.035190728,-0.0616041,0.08827956,-0.2711501,0.11364953,0.7091377,1.0224307,0.2591937,-0.017745305,-0.07964038,0.0,-0.18527468,0.049134534,0.4737607,0.15859759,-0.12552401,0.06027031,0.113263406,0.12880467,0.6859061,-0.33169964,0.047100063,0.042247284,-0.2880026,-0.0012151492,0.011463249,0.0049011945,-0.004125645,0.0,0.0018736797,-0.04397277,-0.20080762,0.0,0.0,0.0,0.0,-0.002035827,0.0,-0.029430047,0.0,0.0,13,All_Stances,XGBoost,0.345997037787364,0.20677976478645146,-0.9645225569157739,-0.43561895660424543,-0.5670995811377343,-0.6376401350338919,-0.6294658020349887,0.27511867285176905,0.00771161444553819,-0.5759878995558018,0.28278785891725233,-0.662179358453746,-0.6743161019325273,0.0,-0.39670986529320945,-0.19839850256405125,-1.7645307758372266,0.2997021050811279,-0.11955162745914268,-0.238630961172272,-0.8697092683648076,-0.5180871106666987,2.2139449238846414,-0.7990961032542375,-0.38010392904191026,-0.15731483600214327,1.0789168914462284,-0.32058655584674733,-0.477999174806191,-0.46614702626862875,-0.47927629311646996,-0.1313693642953316,-0.31220148058781233,-0.4845969186386784,0.19949442363408088,-0.1920331875319516,-0.2814644784880008,-0.07770795840248118,-0.22649023509588234,0.40167918901709476,-0.18373604898788942,-0.2694474329891438,-0.07689535362285375,-0.21628046415892874,0
0.11313752,0.028031318,0.2852782,0.21201208,0.044261426,-0.051400583,0.19779208,-0.28463054,-0.21803592,-0.03825189,0.085280105,-0.04990286,0.13611168,0.0,-0.21535186,0.25059614,0.4897908,-0.27238405,-0.12122843,0.036016796,0.17699009,0.3921673,-0.20416763,0.24311139,-0.28334558,-0.33001706,0.06631468,-0.0014149196,-0.020555604,-0.0279032,-0.32997054,0.0,0.02043669,0.23716438,-0.0108204,0.0,0.0,0.0,0.0,-0.027721897,0.0,-0.053494073,0.0,0.0,13,All_Stances,XGBoost,0.9798697560031392,1.0571415106718196,-0.3817870605027512,-0.511021571744499,-0.9112511187545177,-0.9096649206503986,0.9624088423681794,-0.9730748082923121,-0.9681080328206754,0.8614556774888238,0.5760753940056601,0.10898627029925184,0.6742834658355497,0.0,1.1648742045061145,-0.4420255104327945,-0.36119952984186643,0.922600536389157,-0.26968702628364366,-0.238630961172272,-0.8697092683648076,2.001188248104779,-0.473086991749288,0.13515975696875304,-0.5060493989272723,-0.15767923258629424,-0.6864922192205414,-0.32058655584674733,-0.477999174806191,-0.46614702626862875,1.4542299692279204,-0.1313693642953316,-0.31220148058781233,2.0437941360930787,1.0117998426748251,-0.1920331875319516,-0.2814644784880008,-0.07770795840248118,-0.22649023509588234,0.40167918901709476,-0.18373604898788942,-0.2694474329891438,-0.07689535362285375,-0.21628046415892874,1
-0.13522193,-0.011614716,-0.14063023,-0.38750625,0.010232406,0.08702591,0.24599743,-0.61690354,-0.06682942,-0.35941127,-0.45527357,0.054529447,0.025115518,0.0,-0.31664088,0.26289126,-0.6564689,0.077080555,-0.23456916,-0.04722255,-0.37519595,0.06514017,-0.5550955,0.1283696,0.38684455,-0.15835476,-0.20382634,-0.0015770767,-0.1091499,-0.017016131,-0.59285176,0.0,0.001856719,-0.06290381,-0.15842414,0.0,0.0,0.0,0.0,-0.005154424,0.0,-0.06559613,0.0,0.0,13,All_Stances,XGBoost,0.07433730140917465,-0.6435819810989167,-0.9785082088296865,-1.2601318232130767,0.6718459542826904,0.6571978445006806,1.0988552404598797,-0.7546409490920979,-1.2803703199458638,0.697176411540867,2.101170576465379,1.4970844020546532,-0.6743161019325273,0.0,0.7701881209304612,-0.7343779198752853,0.08874898304754554,-0.6505359893607117,-0.02947038816444241,-0.238630961172272,0.9772998838545919,-0.5585062704832675,-0.4008434759444277,-0.9424378003074143,0.03825907609788081,-0.1488675743451108,3.479375177968166,-0.32058655584674733,-0.477999174806191,-0.46614702626862875,3.3877362315723105,-0.1313693642953316,-0.31220148058781233,-0.4845969186386784,0.31553805492561576,-0.1920331875319516,-0.2814644784880008,-0.07770795840248118,2.473578747339299,-1.3330781781200913,-0.18373604898788942,-0.2694474329891438,-0.07689535362285375,2.5550391801482006,0
0.0011711388,-0.011936078,0.3440216,-0.023618456,0.014205397,0.04722274,0.13487521,-0.0076573035,0.11407162,0.36913574,0.029744148,0.056457695,-0.00056041195,0.0,-0.15127195,0.117355876,-0.19785929,0.13994683,0.47959915,-0.29688364,0.018633807,-0.13126989,0.6658912,-0.12885036,0.25165814,-0.41013032,0.2304185,-0.0021776957,-0.031661954,0.0014969255,0.10819868,0.0,0.00040577352,-0.045639783,0.10526661,0.0,0.0,0.0,0.0,-0.0024579884,0.0,-0.038608346,0.0,0.0,13,All_Stances,XGBoost,0.6176567741655534,-0.6435819810989167,-1.3743171963288026,-1.1755056615537807,-4.674714707531615,-3.1560631502576806,0.5442666546678087,-0.3036807236464942,-0.9366299796830554,-0.2116588823325092,-1.1836498165247842,-0.662179358453746,5.416133558955566,0.0,0.04889930319595526,-1.4165335419077658,-0.1530828222243697,-0.6505359893607117,3.875987212225127,0.6284549037017712,-0.5413520857480254,-0.5187948555063954,4.742976254264188,-0.8973169003095235,-0.5133394837664613,-0.1554460277208181,-0.6764138673069559,-0.32058655584674733,-0.477999174806191,-0.46614702626862875,-0.47927629311646996,-0.1313693642953316,-0.31220148058781233,-0.4845969186386784,1.2438871052578948,-0.1920331875319516,-0.2814644784880008,-0.07770795840248118,-0.22649023509588234,0.40167918901709476,-0.18373604898788942,-0.2694474329891438,-0.07689535362285375,-0.21628046415892874,1
0.092762806,0.0039128363,-0.047118265,-0.07770033,-0.08019632,0.1930668,-0.048071817,1.0755595,-0.30845588,1.2415583,-0.15429589,0.017971907,0.05044163,0.0,0.25695303,-0.18015368,-0.24441929,0.10643345,-0.24493168,0.10151592,0.15156335,0.14105164,0.5114592,0.6087916,-0.04220339,0.077061035,-0.15600535,-0.0012049092,-0.05218788,-0.019545436,0.061887413,0.0,0.021145718,-0.024391698,-0.18356699,0.0,0.0,0.0,0.0,-0.0018050903,0.0,0.004558152,0.0,0.0,13,All_Stances,XGBoost,-0.650088662265997,1.0571415106718196,-0.7200021721463885,0.39381981770020386,-0.2634364597111594,-0.5256299291918013,-0.8301222698169002,1.4682447945336123,1.098333573154837,-0.7571782664101661,-1.1836498165247842,-0.662179358453746,0.7139481590051998,0.0,-0.9832705863683073,1.5929765552943536,-0.5129652243825753,0.13956742958646673,-0.8702286215816416,-0.238630961172272,-0.8697092683648076,-0.5945845607343919,0.6008728815291443,-0.9504769889039119,-0.46825229310149596,-0.12965564516423173,1.0237702814652831,-0.32058655584674733,1.235369488941676,-0.46614702626862875,-0.47927629311646996,-0.1313693642953316,-0.31220148058781233,-0.4845969186386784,-0.8448982579897332,-0.1920331875319516,-0.2814644784880008,-0.07770795840248118,-0.22649023509588234,0.40167918901709476,-0.18373604898788942,-0.2694474329891438,-0.07689535362285375,-0.21628046415892874,0
-0.059430927,-0.013454862,-0.19340649,-0.34319162,-0.048423905,-0.10566889,-0.20005825,0.61395246,-0.13411467,0.33545738,0.0009049643,0.058197174,-0.032037705,0.0,0.29724717,-0.3755583,-0.21167019,-0.011295188,-0.19354782,0.05112987,0.13014774,-0.1334775,-0.0045360522,0.0731961,-0.012593694,-0.014955216,-0.06783923,-0.0012049092,-0.016195538,-0.009729205,0.057600956,0.0,0.029968582,-0.02162167,0.62737525,0.0,0.0,0.0,0.0,0.001143459,0.0,-0.0027911514,0.0,0.0,13,All_Stances,XGBoost,-1.0123016441035828,-0.6435819810989167,0.8255213525785872,0.9265365579155674,1.1536581069461893,1.2665333642816554,-1.1542596408492196,2.135407034172276,1.809224809398549,-1.6027333117305338,-1.1836498165247842,-0.662179358453746,-0.6743161019325273,0.0,-1.2793090694187488,3.830817396803623,2.0864401517155464,-0.6505359893607117,-0.8702286215816416,-0.238630961172272,-0.8697092683648076,-0.5693721426419545,1.718610439488297,-0.9360374071948724,-0.4023351278817235,-0.1354500833621405,0.5241323409455867,-0.32058655584674733,-0.477999174806191,-0.46614702626862875,-0.47927629311646996,-0.1313693642953316,-0.31220148058781233,-0.4845969186386784,-1.1930291518643379,-0.1920331875319516,-0.2814644784880008,-0.07770795840248118,-0.22649023509588234,0.40167918901709476,-0.18373604898788942,-0.2694474329891438,-0.07689535362285375,-0.21628046415892874,1
