word_count,sentence_count,avg_word_length,std_word_length,type_token_ratio,hapax_legomena,stopword_ratio,punctuation_density,noun_ratio,verb_ratio,adj_ratio,adv_ratio,pronoun_ratio,avg_dependency_depth,function_word_ratio,punctuation_usage,readability_score,sentence_length_variation,subordinate_clause_ratio,sentiment_polarity,sentiment_subjectivity,anger,joy,fear,sadness,disgust,surprise,certainty_adverbs_count,certainty_verbs_count,certainty_adjectives_count,doubt_adverbs_count,doubt_verbs_count,doubt_adjectives_count,hedges_score,hedge_C_count,hedge_D_count,hedge_E_count,hedge_I_count,hedge_N_count,C_ratio,D_ratio,E_ratio,I_ratio,N_ratio,iteration,stance,model
0.5008828,0.21747482,-0.16484448,0.162956,-0.0003534481,-0.16823229,0.062176645,-1.5910193,0.47979215,0.09811187,-0.08461206,-0.13853331,-0.5257477,0.0,0.03481164,-0.042957935,-0.42406434,0.101557955,-0.25051776,0.07456079,0.0018262081,0.118737414,1.4427919,0.090805516,0.23683207,0.5466173,0.5503454,0.0,0.85511583,-0.014427698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020793451,0.0,0.0,0.0,0.0,11,AGAINST,XGBoost
-0.51418656,0.04207429,-0.1418543,-0.27565432,0.040290996,-0.07929669,0.07812386,-0.9480363,-0.6565995,0.02275417,0.21768925,-0.14595686,-0.08308497,0.0,-0.13704206,0.054972954,-0.5252962,-0.14145474,-0.22336686,-0.30260146,-0.022295874,-0.3045429,-1.592231,-0.3586453,-0.18443875,0.14445929,-0.85058135,0.0,-1.5062357,-0.069995105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059497426,0.0,0.0,0.0,0.0,11,AGAINST,XGBoost
0.37536716,0.09421104,0.2084671,-0.39115807,0.017678626,0.09783418,-0.28135142,0.36946973,0.2147673,-0.42283428,0.31136668,0.17946997,-1.1372117,0.0,0.05090352,-0.13662219,-0.08528214,-0.07288056,-0.25274438,-0.17754532,-0.026157755,-0.075299844,0.40325025,-0.3048146,-0.09287283,0.52715147,-0.33201197,0.0,1.4390168,-0.028564448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03281121,0.0,0.0,0.0,0.0,11,AGAINST,XGBoost
0.578383,0.047690507,-0.017002374,-0.32950187,0.055496812,-0.16183907,-0.15303913,0.5683732,0.13715392,-0.04937189,-0.095929705,-0.07795656,0.35180032,0.0,0.012708852,-0.056526646,-0.77135277,-0.02172728,-0.088887855,-0.48142475,0.0052721202,0.43990156,-2.6178567,-0.47089988,-0.057858095,-0.6311213,-1.1545411,0.0,0.6404863,0.500774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018884767,0.0,0.0,0.0,0.0,11,AGAINST,XGBoost
0.9650468,0.11320749,-0.43417925,0.49298573,0.10868145,-0.15725222,-0.28927588,0.78808254,0.24564768,0.19297801,0.2314465,0.16853014,0.5295117,0.0,-0.008095581,-0.0303174,-0.3906614,0.042150408,-0.17206812,0.11533878,0.08074041,0.17188206,1.0685194,-0.07480599,0.2038651,0.41819614,0.9029496,0.0,1.1431656,-0.013284176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06268721,0.0,0.0,0.0,0.0,11,AGAINST,XGBoost
-0.6786298,0.054697625,-0.024562668,-0.14229009,0.03202595,0.022434417,0.03865467,-1.3401915,-1.0048825,0.031274118,0.2450645,-0.19935147,-0.16909379,0.0,-0.05057183,0.0648766,-0.40250057,0.04483153,0.34339464,-0.48838866,-0.011950917,-0.42931354,0.6447781,-0.096601754,-0.07218988,0.021382205,-0.5608814,0.0,-2.0565279,-0.01668638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009207165,0.0,0.0,0.0,0.0,11,AGAINST,XGBoost
0.28848597,0.053541627,0.020766847,-0.37152863,-0.08753895,0.032798328,-0.03129442,0.6136758,0.3098445,0.24972843,-0.11675674,0.10815749,-0.5749255,0.0,0.06030495,-0.19781466,-0.04365767,0.01083334,-0.18814848,-0.4502713,0.0047972486,-0.53758204,0.65875256,0.107869945,0.0860748,0.1563327,0.445829,0.0,-1.9541516,-0.0148619935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016241498,0.0,0.0,0.0,0.0,11,AGAINST,XGBoost
-0.6410975,0.03366016,-0.03731168,0.45652986,-0.085350215,0.07418431,0.056182563,-0.90472054,-0.87454355,0.040318277,-0.0966765,-0.15857291,-0.18793905,0.0,-0.13066903,-0.045983892,0.005589146,-0.14165224,0.32054874,-0.5213126,-0.025343813,-0.3479779,-1.2959633,-0.3205961,-0.21966262,0.038136564,-0.87019354,0.0,-1.9773854,-0.062480066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005009667,0.0,0.0,0.0,0.0,11,AGAINST,XGBoost
-0.71664566,0.04368565,0.2790182,-0.32673937,0.03158919,0.022276677,-0.10833812,0.3137107,0.52969277,-0.17099479,-0.08992532,-0.18079515,-0.16569155,0.0,0.06412789,0.14108934,-0.07223293,0.18475607,-0.37713286,-0.3563717,-0.04123656,0.34131476,0.68517184,0.023070073,-0.10820846,0.3068676,0.74316996,0.0,-1.4236486,-0.014749335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07661482,0.0,0.0,0.0,0.0,11,AGAINST,XGBoost
0.95590556,-0.24538654,-0.0047587026,-0.46611562,0.0025020726,0.092338465,0.03376561,1.0816015,0.3987459,0.1789763,-0.13165557,0.14113432,0.13715956,0.0,0.040416747,0.07500377,-0.28389657,0.15165189,0.05715009,0.09646588,0.067309126,-0.325204,1.3264911,0.04008653,-0.031370822,-0.13782538,0.40256265,0.0,1.3813221,0.10010494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.42089966,0.0,0.0,0.0,0.0,11,AGAINST,XGBoost
